X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-76.1458650992853,43.0692798886125,1845,2018/05/18,1445,1445,200 CLEVELAND AV,LARCENY,
-76.1510204997179,43.044687000192,1846,2018/06/25,1300,1300,100 E  ONONDAGA AV,LARCENY,
-76.1585895004775,43.0119899997657,1847,2018/06/25,1747,1747,100 MARVIN RD,LARCENY,
,,1848,2018/05/17,2022,2030,9500 DESTINY USA DR,LARCENY,
-76.1968550641362,43.055277814226,1849,2018/05/18,1630,1644,300 ESSEX ST,LARCENY,
-76.1118660003914,43.0700490004352,1850,2018/06/25,1500,1542,200 MARLBOROUGH RD,AGGRAVATED ASSAULT,
-76.1340509999947,43.046343000127,1851,2018/06/25,1000,0700,1100 E  GENESEE ST,LARCENY,
-76.1534369814579,43.0634503465359,1852,2018/05/18,1219,1219,2000 LODI ST,LARCENY,
,,1853,2018/05/19,1956,1956,UNKNOWN,LARCENY,
-76.1473211262981,43.0657257723346,1854,2018/05/18,1420,1420,400 CARBON ST,AGGRAVATED ASSAULT,
-76.0945320000887,43.0668989997323,1855,2018/06/25,0710,0710,200 RIDGEWOOD DR,LARCENY,
-76.1692364995455,43.0281989996976,1856,2018/06/25,1558,1558,300 CROSSETT ST,ROBBERY,
-76.1536449152292,43.0480210085044,1857,2018/05/19,1920,1920,100 WALTON ST,LARCENY,
-76.1483800646115,43.0318788618526,1858,2018/05/19,1437,1437,100 FURMAN ST,BURGLARY,
-76.1136030003596,43.0719749998344,1859,2018/06/25,0000,0700,300 NORTH AV,LARCENY,
-76.1424171493466,43.0097293979515,1860,2018/05/17,1530,1530,4000 S  SALINA ST,LARCENY,
-76.1505854584538,43.0670385248952,1861,2018/05/17,1300,1300,600 POND ST,LARCENY,
-76.103818330392,43.068923978615,1862,2018/05/19,1639,1639,3100 JAMES ST,ROBBERY,
-76.0936951990478,43.0478087443867,1863,2018/05/19,1200,1100,100 SPRINGFIELD RD,LARCENY,
-76.1455503027237,43.0712153946939,1864,2018/05/19,0100,0530,400 CRAIG ST,MV THEFT,
-76.1349330000851,43.0480080003463,1865,2018/06/25,1608,1608,300 UNIVERSITY PL,LARCENY,
-76.1698113759297,43.0355129270113,1866,2018/05/20,0000,0030,200 PUTNAM ST,LARCENY,
-76.1586774648806,43.0303972721731,1867,2018/05/20,0100,0100,800 SOUTH AV,MV THEFT,
-76.1340442418525,43.0670491877821,1868,2018/05/19,1330,1144,600 DEWITT ST,LARCENY,
-76.1050529994843,43.073820000249,1869,2018/06/25,2231,2231,300 N  MIDLER AV,ROBBERY,
-76.1166494999957,43.0714619996424,1870,2018/06/25,1300,2300,300 VILLAGE DR,LARCENY,
-76.1707214998294,43.0304040002022,1871,2018/06/25,2245,2250,400 STOLP AV,MV THEFT,
-76.1458650992853,43.0692798886125,1872,2018/05/21,2312,2312,200 CLEVELAND AV,LARCENY,
,,1873,2018/05/18,2006,2006,0 DESTINY USA DR,LARCENY,
,,1874,2018/05/21,2200,2200,0 DESTINY USA DR,BURGLARY,
-76.1480055002313,43.0103430000543,1875,2018/06/25,2145,2145,3100 MIDLAND AV,MV THEFT,
-76.1664059994413,43.051077000198,1876,2018/06/25,0130,1030,400 WILKINSON ST,LARCENY,
-76.1086727369819,43.0736008586177,1877,2018/05/21,2100,0845,300 ASHDALE AV,LARCENY,
-76.1098109060353,43.0734251592295,1878,2018/05/21,2210,0615,300 COUGHLIN AV,LARCENY,
-76.1039998841633,43.0534777826209,1879,2018/05/21,1230,1245,2500 ERIE BLVD E,LARCENY,
-76.1342085005207,43.0166070001427,1880,2018/06/25,0650,0650,600 IVY RIDGE RD,LARCENY,
-76.1410710002967,43.0471799997188,1881,2018/06/25,2200,0700,700 E  GENESEE ST,LARCENY,
-76.1360170499127,43.0218065858155,1882,2018/05/22,2329,2329,100 RONEY LN,AGGRAVATED ASSAULT,
-76.1475796524224,43.0679030121461,1883,2018/05/21,0500,0730,300 CURTIS ST,LARCENY,
-76.142096301058,43.0426578422063,1884,2018/05/21,0140,0140,700 E  ADAMS ST,AGGRAVATED ASSAULT,
-76.1456610690802,43.0261712619259,1885,2018/05/22,2242,2242,100 WOOD AV,ROBBERY,
-76.1228800938731,43.0691464203299,1886,2018/05/22,1628,1628,1500 TEALL AV,LARCENY,
-76.1569829999122,43.0636590001183,1887,2018/06/26,1717,1717,200 UNION PL,LARCENY,
-76.1414871024206,43.0172776302404,1888,2018/05/22,1915,1915,100 W  PLEASANT AV,MV THEFT,
-76.1454540002114,43.0309350004349,1889,2018/06/26,1200,1200,200 W  KENNEDY ST,MV THEFT,
-76.1625559204131,43.0733306878551,1890,2018/05/22,1348,1348,500 WOLF ST,LARCENY,
-76.1713289999473,43.0457850004494,1891,2018/06/26,2000,0900,200 N  GEDDES ST,BURGLARY,
-76.1277563926342,43.0469475986467,1892,2018/05/22,1523,1523,400 S  BEECH ST,MV THEFT,
-76.1480341687862,43.0613870257057,1893,2018/05/22,1020,0704,600 ASH ST,LARCENY,
,,1894,2018/05/23,0006,0006,UNKNOWN,LARCENY,
-76.1493646348412,43.064609662964,1895,2018/05/20,0100,1600,100 NEUTRAL CT,LARCENY,
-76.1497020001766,43.0586009997243,1896,2018/06/26,0830,0830,400 BUTTERNUT ST,LARCENY,
