ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_SingleLine,USER_DATEEND,USER_TIMESTART,USER_TIMEEND,USER_ADDRESS,USER_CODE_DEFINED,USER_Arrest,USER_LarcenyCode
4723,SyrPoints,M,90.77,A,"300 IVY RIDGE, 13210","300 IVY RIDGE, 13210",300 IVY RIDGE,PointAddress,,,"300 IVY RIDGE, 13210",,,20,CLARENDON HEIGHTS APTS,300,,,,,,,IVY RIDGE,,,,,,,,,,300 IVY RIDGE,,,,,,,,,,,,13210,,,ENG,0,940234.962583566,1099612.69238469,940234.962583566,1099612.69238469,939969.473794386,940500.442658909,1099246.80905813,1099978.57896635,RD,300 IVY RIDGE RD,2022/02/24 00:00:00+00,1900,1000,300 IVY RIDGE RD,LARCENY,,From Motor Vehicle
4724,SyrPoints,M,92,A,"500 UNIVERSITY, 13210","500 UNIVERSITY, 13210",500 UNIVERSITY,PointAddress,,,"500 UNIVERSITY, 13210",,,20,PHI KAPPA PSI FRATERNITY,500,,,,,,,UNIVERSITY,,,,,,,,,,500 UNIVERSITY,,,,,,,,,,,,13210,,,ENG,0,941522.452276469,1107672.5113664,941522.452276469,1107672.5113664,941257.081801644,941787.81403343,1107306.6106907,1108038.41529737,PL,500 UNIVERSITY PL,2022/02/24 00:00:00+00,1220,1430,500 UNIVERSITY PL,LARCENY,,From Motor Vehicle
4725,SyrPoints,M,88,A,"500 JAMES, 13203","500 JAMES, 13203",500 JAMES,PointAddress,,,"500 JAMES, 13203",,,20,BAGG PLACE,500,,,,,,,JAMES,,,,,,,,,,500 JAMES,,,,,,,,,,,,13203,,,ENG,0,937194.348658785,1112891.30496254,937194.348658785,1112891.30496254,936928.971343616,937459.717254986,1112525.45461312,1113257.15856706,ST,500 JAMES ST,2022/02/24 00:00:00+00,1700,0804,500 JAMES ST,LARCENY,,All Other
4726,SyrStreets,M,99.5,A,IRVING AVE & E GENESEE ST,IRVING AVE & E GENESEE ST,IRVING AVE & E GENESEE ST,StreetInt,,,IRVING AVE & E GENESEE ST,,,20,,,,,,,,,,,,,,,,,,,IRVING AVE & E GENESEE ST,,,,,,,,,,,,,,,ENG,0,939314.246725027,1110507.90517549,939314.246725027,1110507.90517549,939048.874858771,939579.60987278,1110142.03013054,1110873.78347565,0,0 IRVING AVE & E GENESEE ST,2022/03/19 00:00:00+00,0148,0148,0 IRVING AVE & E GENESEE ST,AGGRAVATED ASSAULT,,
4727,SyrStreets,M,100,A,1100 N SALINA ST,1100 N SALINA ST,1100 N SALINA ST,StreetAddress,,,1100 N SALINA ST,,,20,,1100,1100,1198,1100-1198,R,N,,SALINA,ST,,,,,,,,,1100 N SALINA ST,,,,,,,,,,,,,,,ENG,0,934222.100817699,1117035.04654907,934222.100817699,1117035.04654907,933956.72553891,934487.467376517,1116669.23063812,1117400.86571502,,1100 N  SALINA ST,2022/03/19 00:00:00+00,1326,1326,1100 N  SALINA ST,MV THEFT,,Motor Vehicle
4728,SyrStreets,M,100,A,1100 OAK ST,1100 OAK ST,1100 OAK ST,StreetAddress,,,1100 OAK ST,,,20,,1100,1100,1198,1100-1198,R,,,OAK,ST,,,,,,,,,1100 OAK ST,,,,,,,,,,,,,,,ENG,0,939672.980382537,1117807.21788097,939672.980382537,1117807.21788097,939407.702660445,939938.249382725,1117441.33675221,1118173.10226503,,1100 OAK ST,2022/03/19 00:00:00+00,2100,0800,1100 OAK ST,LARCENY,,From Motor Vehicle
4729,SyrStreets,M,100,A,3600 S SALINA ST,3600 S SALINA ST,3600 S SALINA ST,StreetAddress,,,3600 S SALINA ST,,,20,,3600,3600,3628,3600-3628,R,S,,SALINA,ST,,,,,,,,,3600 S SALINA ST,,,,,,,,,,,,,,,ENG,0,938287.418848418,1098232.57467854,938287.418848418,1098232.57467854,938021.881911538,938552.947072659,1097866.714906,1098598.43770607,,3600 S  SALINA ST,2022/03/24 00:00:00+00,1600,1600,3600 S  SALINA ST,LARCENY,,From Motor Vehicle
4730,SyrStreets,M,100,A,1300 GRANT BLVD,1300 GRANT BLVD,1300 GRANT BLVD,StreetAddress,,,1300 GRANT BLVD,,,20,,1300,1300,1310,1300-1310,R,,,GRANT,BLVD,,,,,,,,,1300 GRANT BLVD,,,,,,,,,,,,,,,ENG,0,940115.266138107,1119840.81897968,940115.266138107,1119840.81897968,939850.020193005,940380.503360248,1119474.93207075,1120206.70914396,,1300 GRANT BLVD,2022/03/19 00:00:00+00,2100,0800,1300 GRANT BLVD,MV THEFT,,Motor Vehicle
4731,SyrStreets,M,100,A,200 DANFORTH ST,200 DANFORTH ST,200 DANFORTH ST,StreetAddress,,,200 DANFORTH ST,,,20,,200,200,298,200-298,R,,,DANFORTH,ST,,,,,,,,,200 DANFORTH ST,,,,,,,,,,,,,,,ENG,0,933673.103138885,1116949.79465398,933673.103138885,1116949.79465398,933407.717943707,933938.479614294,1116583.98531298,1117315.60724997,,200 DANFORTH ST,2022/03/19 00:00:00+00,0820,0820,200 DANFORTH ST,BURGLARY,,From Building
4732,SyrStreets,M,100,A,2400 ERIE BLVD E,2400 ERIE BLVD E,2400 ERIE BLVD E,StreetAddress,,,2400 ERIE BLVD E,,,20,,2400,2300,2448,2300-2448,R,,,ERIE,BLVD,E,,,,,,,,2400 ERIE BLVD E,,,,,,,,,,,,,,,ENG,0,948074.776955197,1112887.86087493,948074.776955197,1112887.86087493,947809.575563298,948339.969624943,1112521.88074759,1113253.84425798,,2400 ERIE BLVD E,2022/03/19 00:00:00+00,1247,1247,2400 ERIE BLVD E,LARCENY,,Shoplifting
4733,SyrStreets,M,100,A,200 SENECA DR,200 SENECA DR,200 SENECA DR,StreetAddress,,,200 SENECA DR,,,20,,200,200,398,200-398,R,,,SENECA,DR,,,,,,,,,200 SENECA DR,,,,,,,,,,,,,,,ENG,0,938848.286916846,1094960.95353138,938848.286916846,1094960.95353138,938582.719483244,939113.84563912,1094595.08788187,1095326.82243586,,200 SENECA DR,2022/03/19 00:00:00+00,1700,1756,200 SENECA DR,LARCENY,,All Other
4734,SyrStreets,M,100,A,400 S COLLINGWOOD AVE,400 S COLLINGWOOD AVE,400 S COLLINGWOOD AVE,StreetAddress,,,400 S COLLINGWOOD AVE,,,20,,400,400,498,400-498,R,S,,COLLINGWOOD,AVE,,,,,,,,,400 S COLLINGWOOD AVE,,,,,,,,,,,,,,,ENG,0,947494.219286107,1115929.81983782,947494.219286107,1115929.81983782,947229.045361363,947759.384487494,1115563.84586896,1116295.7970624,,400 S  COLLINGWOOD AV,2022/03/20 00:00:00+00,1759,1759,400 S  COLLINGWOOD AV,AGGRAVATED ASSAULT,Yes,
4735,SyrPoints,M,90,A,"500 S SALINA, 13202","500 S SALINA, 13202",500 S SALINA,PointAddress,,,"500 S SALINA, 13202",,,20,CASA MIA PIZZERIA AND FISH FRY,500,,,,,S,,SALINA,,,,,,,,,,500 S SALINA,,,,,,,,,,,,13202,,,ENG,0,935440.918775841,1109339.60619362,935440.918775841,1109339.60619362,935175.470140632,935706.35869421,1108973.77762712,1109705.43801509,ST,500 S  SALINA ST,2022/02/23 00:00:00+00,2330,2330,500 S  SALINA ST,LARCENY,,Purse Snatch
4736,SyrStreets,M,100,A,800 POND ST,800 POND ST,800 POND ST,StreetAddress,,,800 POND ST,,,20,,800,800,898,800-898,R,,,POND,ST,,,,,,,,,800 POND ST,,,,,,,,,,,,,,,ENG,0,936302.943088528,1118664.59293058,936302.943088528,1118664.59293058,936037.621202872,936568.256252878,1118298.75179657,1119030.43731971,,800 POND ST,2022/03/19 00:00:00+00,1900,2018,800 POND ST,BURGLARY,,From Building
4737,SyrStreets,M,100,A,4700 ONONDAGA BLVD,4700 ONONDAGA BLVD,4700 ONONDAGA BLVD,StreetAddress,,,4700 ONONDAGA BLVD,,,20,,4700,4670,4730,4670-4730,R,,,ONONDAGA,BLVD,,,,,,,,,4700 ONONDAGA BLVD,,,,,,,,,,,,,,,ENG,0,924463.317209133,1105108.14805164,924463.317209133,1105108.14805164,924197.639918679,924728.985787859,1104742.45139373,1105473.84796385,,4700 ONONDAGA BLVD,2022/03/19 00:00:00+00,1630,1840,4700 ONONDAGA BLVD,LARCENY,,All Other
