X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8481040.97868865,5320356.46962312,2024/02/12 05:00:00+00,2205,2205,100 WILLIAMS ST     ,,From Motor Vehicle,LARCENY,43.0550611200001,-76.186487364,58
-8477384.62199734,5319378.88703025,2024/01/09 05:00:00+00,100,100,300 S CLINTON ST   ,Yes,From Motor Vehicle,MV THEFT,43.04864396,-76.153641753,59
-8477597.18155563,5319680.73868891,2024/02/25 05:00:00+00,1934,1935,300 W  WATER ST     ,,,ROBBERY,43.0506254810001,-76.155551208,60
-8476797.59001722,5314625.23354236,2024/02/21 05:00:00+00,0,946,300 W NEWELL ST   ,,All Other,BURGLARY,43.0174299110001,-76.1483683549999,61
-8478569.74499237,5322791.63272775,2024/02/05 05:00:00+00,739,739,300 WOLF ST     ,,,AGGRAVATED ASSAULT,43.0710433780001,-76.164287894,62
-8470036.17316573,5320375.02974651,2024/01/09 05:00:00+00,1600,1100,3000 ERIE BLVD E ,,Motor Vehicle,MV THEFT,43.055182948,-76.087629514,63
-8470036.17316573,5320375.02974651,2024/01/09 05:00:00+00,1600,1100,3000 ERIE BLVD E ,,Motor Vehicle,MV THEFT,43.055182948,-76.087629514,64
,,2024/01/29 05:00:00+00,500,830,3100 BRIGHTON PL     ,,From Motor Vehicle,LARCENY,,,65
-8471997.47565178,5322457.84258872,2024/02/02 05:00:00+00,1730,1800,3000 JAMES ST     ,,All Other,LARCENY,43.068852921,-76.105248194,66
-8476028.381798,5314584.0446744,2024/02/13 05:00:00+00,1742,1742,3200 S SALINA ST   ,,,AGGRAVATED ASSAULT,43.017159382,-76.14145844,67
-8476028.381798,5314584.0446744,2024/02/05 05:00:00+00,2307,2328,3200 S SALINA ST     ,,,ROBBERY,43.017159382,-76.14145844,68
-8471283.63296054,5322504.47877829,2024/01/10 05:00:00+00,1500,1100,3500 JAMES ST     ,,From Motor Vehicle,LARCENY,43.06915897,-76.098835636,69
-8476086.06922792,5313864.69527919,2024/01/25 05:00:00+00,1030,1030,3700 S SALINA ST     ,,All Other,LARCENY,43.012434494,-76.141976655,70
-8476101.51580914,5313728.94752288,2024/02/01 05:00:00+00,2200,2200,3800 S SALINA ST   ,,Shoplifting,LARCENY,43.0115428240001,-76.142115414,71
-8476101.51580914,5313728.94752288,2024/02/20 05:00:00+00,954,954,3800 S SALINA ST     ,,Shoplifting,LARCENY,43.0115428240001,-76.142115414,72
-8476101.51580914,5313728.94752288,2024/01/28 05:00:00+00,1030,1030,3800 S SALINA ST   ,Yes,From Building,BURGLARY,43.0115428240001,-76.142115414,73
-8476939.70003389,5321156.9950558,2024/01/26 05:00:00+00,1847,1847,400 ASH ST     ,,Motor Vehicle,MV THEFT,43.0603155210001,-76.149644951,74
-8478129.10048036,5313441.49174667,2024/02/04 05:00:00+00,2230,500,400 BARNES AV   ,,Motor Vehicle,MV THEFT,43.009654605,-76.160329517,75
-8470479.70085255,5321555.77743318,2024/01/04 05:00:00+00,910,1010,400 BURNS AVE    ,,From Building,LARCENY,43.0629328370001,-76.091613791,76
-8476117.19460282,5313596.23155047,2024/01/24 05:00:00+00,1900,415,3900 S SALINA ST     ,,From Building,BURGLARY,43.010671056,-76.142256259,77
-8476472.91536774,5317798.82094938,2024/01/04 05:00:00+00,1840,1840,400 BURT ST     ,,,AGGRAVATED ASSAULT,43.0382704890001,-76.145451753,78
-8476708.10528795,5320961.592396,2024/02/07 05:00:00+00,730,730,500 BUTTERNUT ST   ,Yes,Shoplifting,BURGLARY,43.0590330000001,-76.1475645,79
-8476708.10528795,5320961.592396,2024/02/12 05:00:00+00,1354,1354,500 BUTTERNUT ST     ,,Shoplifting,LARCENY,43.0590330000001,-76.1475645,80
-8476708.10528795,5320961.592396,2024/02/12 05:00:00+00,2035,2035,500 BUTTERNUT ST     ,,Shoplifting,LARCENY,43.0590330000001,-76.1475645,81
-8476708.10528795,5320961.592396,2024/01/13 05:00:00+00,1426,1426,500 BUTTERNUT ST     ,,From Building,LARCENY,43.0590330000001,-76.1475645,82
-8476708.10528795,5320961.592396,2024/01/31 05:00:00+00,1800,1800,500 BUTTERNUT ST   ,,From Building,LARCENY,43.0590330000001,-76.1475645,83
-8476708.10528795,5320961.592396,2024/01/07 05:00:00+00,725,725,500 BUTTERNUT ST   ,,Shoplifting,BURGLARY,43.0590330000001,-76.1475645,84
-8476708.10528795,5320961.592396,2024/01/29 05:00:00+00,841,841,500 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,85
-8476708.10528795,5320961.592396,2024/01/23 05:00:00+00,944,946,500 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,86
-8476708.10528795,5320961.592396,2024/01/08 05:00:00+00,1944,1944,500 BUTTERNUT ST   ,,From Building,LARCENY,43.0590330000001,-76.1475645,87
-8476708.10528795,5320961.592396,2024/01/12 05:00:00+00,1136,1254,500 BUTTERNUT ST     ,Yes,All Other,LARCENY,43.0590330000001,-76.1475645,88
-8476708.10528795,5320961.592396,2024/02/03 05:00:00+00,1502,1502,500 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,89
-8476708.10528795,5320961.592396,2024/01/17 05:00:00+00,2116,2116,500 BUTTERNUT ST   ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,90
-8476708.10528795,5320961.592396,2024/01/17 05:00:00+00,1838,1838,500 BUTTERNUT ST   ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,91
-8476708.10528795,5320961.592396,2024/01/31 05:00:00+00,830,832,500 BUTTERNUT ST   ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,92
-8476708.10528795,5320961.592396,2024/01/12 05:00:00+00,2106,2106,500 BUTTERNUT ST     ,Yes,Shoplifting,BURGLARY,43.0590330000001,-76.1475645,93
-8476708.10528795,5320961.592396,2024/01/23 05:00:00+00,1231,1231,500 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,94
-8476708.10528795,5320961.592396,2024/01/25 05:00:00+00,1314,1314,500 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,95
-8476708.10528795,5320961.592396,2024/01/25 05:00:00+00,825,825,500 BUTTERNUT ST     ,,Shoplifting,LARCENY,43.0590330000001,-76.1475645,96
-8476708.10528795,5320961.592396,2024/02/23 05:00:00+00,854,854,500 BUTTERNUT ST   ,,Shoplifting,LARCENY,43.0590330000001,-76.1475645,97
-8476708.10528795,5320961.592396,2024/02/21 05:00:00+00,1058,1058,500 BUTTERNUT ST   ,,Shoplifting,LARCENY,43.0590330000001,-76.1475645,98
-8476708.10528795,5320961.592396,2024/01/24 05:00:00+00,1309,1309,500 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0590330000001,-76.1475645,99
-8476708.10528795,5320961.592396,2024/02/19 05:00:00+00,1744,1744,500 BUTTERNUT ST     ,,Shoplifting,LARCENY,43.0590330000001,-76.1475645,100
-8477781.61490874,5320721.63373806,2024/01/29 05:00:00+00,0,1604,600 N FRANKLIN ST     ,,From Motor Vehicle,LARCENY,43.0574580000001,-76.157208001,101
-8475009.78953293,5316023.33667224,2024/02/01 05:00:00+00,100,900,200 ROBERT DR   ,,From Motor Vehicle,LARCENY,43.0266119630001,-76.13230827,102
-8477372.84951591,5318730.90014665,2024/02/05 05:00:00+00,1345,1345,0 S CLINTON ST & DICKERSON ST        ,,,AGGRAVATED ASSAULT,43.0443900000001,-76.153535999,103
-8476281.80740928,5320496.76379018,2024/02/08 05:00:00+00,1328,1328,500 CATHERINE ST     ,Yes,Shoplifting,LARCENY,43.055982,-76.143735001,104
-8473992.5219698,5317790.52200063,2024/01/13 05:00:00+00,200,900,500 CLARENDON ST     ,,From Building,BURGLARY,43.038216,-76.12317,105
-8473992.5219698,5317790.52200063,2024/02/11 05:00:00+00,1530,1557,500 CLARENDON ST     ,,,ROBBERY,43.038216,-76.12317,106
-8477443.98289316,5319085.96548592,2024/01/10 05:00:00+00,1416,1416,500 S  CLINTON ST     ,,All Other,LARCENY,43.046721,-76.1541750009999,107
