X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,latitude,longitude,CRIME_WEIGHT
-8476242.81152374,5321892.16314128,2023/02/21 05:00:00+00,1317,1317,100 SPRING ST     ,SIMPLE ASSAULT,43.06514040523544,-76.14334708829739,117
-8476281.80740928,5320496.76379018,2023/06/07 04:00:00+00,1546,1546,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8475701.13622487,5320682.19898866,2023/02/21 05:00:00+00,2100,2200,900 JAMES ST     ,CRIMINAL MISCHIEF,43.057241383740845,-76.13855932678966,153
-8476388.50702988,5321375.70697708,2023/06/07 04:00:00+00,1750,1750,800 BUTTERNUT ST     ,POSSESSION/USE DRUG,43.06179889632048,-76.14481403396698,127
-8476673.14974333,5315616.18556417,2023/02/22 05:00:00+00,1958,1958,100 FAGE AVE    ,OFFN AGAINST FAMILY,43.023954681509466,-76.14718396571084,112
-8475422.64903399,5315291.62091939,2023/02/22 05:00:00+00,2312,2312,100 RONEY LN     ,SIMPLE ASSAULT,43.02181089780518,-76.13597471181501,127
-8479688.18115588,5319493.85335513,2023/02/23 05:00:00+00,1149,1149,100 LAKEVIEW AVE    ,SIMPLE ASSAULT,43.04939682667557,-76.17425076874625,117
-8471437.42907471,5320183.95919322,2023/02/23 05:00:00+00,150,207,2600 ERIE BLVD E ,CRIMINAL MISCHIEF,43.05397835903031,-76.10022774571262,106
-8476201.57121462,5320346.27976116,2023/02/23 05:00:00+00,1144,1144,700 JAMES ST     ,SIMPLE ASSAULT,43.05503598616807,-76.14305352257017,294
-8477382.0499605,5318739.12727371,2023/02/23 05:00:00+00,1338,1338,100 DICKERSON ST     ,POSSESSION/USE DRUG,43.044381251569725,-76.1536130362966,320
-8477231.08414438,5318644.53494196,2023/06/08 04:00:00+00,1142,20,500 S  SALINA ST     ,SIMPLE ASSAULT,43.043874863607265,-76.15203563897467,254
-8476353.32194447,5320604.68697808,2023/02/23 05:00:00+00,2222,2222,600 CATHERINE ST     ,SIMPLE ASSAULT,43.05666562893814,-76.14443457788907,109
-8476673.14974333,5315616.18556417,2023/03/22 04:00:00+00,2324,1200,100 FAGE AVE    ,POSSESSION/USE DANGEROUS WEAPONS,43.023954681509466,-76.14718396571084,112
-8478888.18619564,5317945.41743032,2023/06/27 04:00:00+00,1458,1458,200 SABINE ST     ,SIMPLE ASSAULT,43.03938619651163,-76.16708349636676,152
-8477567.71439586,5312688.6322306,2023/06/27 04:00:00+00,2133,2133,100 SMITH LN     ,OFFN AGAINST FAMILY,43.00484015925489,-76.15535255347613,109
